_id_x,PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,Neighborhood,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y,_id_y,Id,Estimate; Total,Margin of Error; Total
3157026,323538454,23165399,0,2023-10-18T08:40:00,"5th Ave & Penn Ave Pittsburgh, PA 15208",N,Larimer,5,99,9999 9999 - (Misc. Incident): ,1208.0,9.0,3.0,-79.91242691219192,40.45404527057683,45,45,1641.0,322.952008819
3157099,323670844,23166141,10,2023-10-19T13:55:00,"Winslow St & Larimer Ave Pittsburgh, PA 15206",Y,Larimer,5,HARRASSMENT,2709 Harassment (Non-Specific),1204.0,9.0,2.0,-79.91335642687491,40.46573876025665,45,45,1641.0,322.952008819
3157287,324057261,23169735,99,2023-10-25T17:22:00,"6400 Block Penn Ave Pittsburgh, PA 15206",N,Larimer,5,AIDED CASE,9497 Aided Case,1208.0,9.0,2.0,-79.91743506731456,40.45751349471281,45,45,1641.0,322.952008819
3157354,324197965,23170948,29,2023-10-27T16:14:00,"500 Block Larimer Ave Pittsburgh, PA 15206",N,Larimer,5,RUNAWAYS - JUVENILE,029 Missing Juvenile,1204.0,9.0,2.0,-79.91448420361156,40.46529927090327,45,45,1641.0,322.952008819
3157558,323863396,23168344,0,2023-10-23T12:20:00,"Enterprise St & Tangent Way Pittsburgh, PA 15206",N,Larimer,5,99,9999 9999 - (Misc. Incident): Nonreportable collision. ,1208.0,9.0,2.0,-79.91402935119648,40.46004508244018,45,45,1641.0,322.952008819
3157577,323208312,23162166,18,2023-10-12T14:20:00,"500 Block Indiana Way Pittsburgh, PA 15206",N,Larimer,5,STOLEN PROPERTY - OTHER,13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(31) Marijuana: Possession Small Amount / 13(a)(32) Paraphernalia - Use or Possession / 9124 Drug Investigation,1204.0,9.0,2.0,-79.91479628693726,40.46557169933486,45,45,1641.0,322.952008819
3157598,324245247,23171732,15,2023-10-28T22:03:00,"10 Block Auburn St Pittsburgh, PA 15206",Y,Larimer,5,FIREARMS NOT TO BE CARRIED WO LICENSE,6106 Firearms not to be Carried without a License. / 4302 Periods for Requiring Lighted Lamps. / 3334 Turning Movements and Required Signals.,1208.0,9.0,2.0,-79.91635865105529,40.46324714283835,45,45,1641.0,322.952008819
3157716,323137962,23161834,99,2023-10-11T19:06:00,"20 Block Mayflower St Pittsburgh, PA 15206",Y,Larimer,5,MENTAL 201/302,9498 302 (Mental),1208.0,9.0,2.0,-79.91737891749317,40.4652945132425,45,45,1641.0,322.952008819
3157874,323645344,23166142,6,2023-10-18T17:50:00,"600 Block Lincoln Ave Pittsburgh, PA 15206",N,Larimer,5,THEFT,3921 Theft by Unlawful Taking or Disposition.,1208.0,9.0,2.0,-79.90764416675628,40.46149739497394,45,45,1641.0,322.952008819
3154936,322852487,23160391,18,2023-10-09T02:51:00,"900 Block Cherokee Rdwy Pittsburgh, PA 15219",Y,Upper Hill,2,STOLEN PROPERTY - OTHER,13(a)(16) Possession of Controlled Substance,506.0,,,,,86,86,1884.0,408.074748055
3154998,324417127,23173107,0,2023-10-31T11:00:00,"3400 Block Webster Ave Pittsburgh, PA 15219",N,Upper Hill,2,99,9993 PFA Service with Weapons Supplement,506.0,6.0,3.0,-79.9616500933705,40.45485487361505,86,86,1884.0,408.074748055
3155035,324244013,23171700,6,2023-10-28T20:00:00,"3000 Block Iowa St Pittsburgh, PA 15219",N,Upper Hill,2,THEFT FROM AUTO,3934 Theft from Vehicle / 3921(a) Theft by Unlawful Taking or Disposition - Movable item,506.0,6.0,3.0,-79.95856426986792,40.4487881616035,86,86,1884.0,408.074748055
3155297,324137558,23170542,0,2023-10-26T22:11:00,"3400 Block E Milwaukee St Pittsburgh, PA 15219",N,Upper Hill,2,99,8106 Shots Fired,506.0,6.0,3.0,-79.96129600101746,40.45415239923668,86,86,1884.0,408.074748055
3155406,324202315,23170961,10,2023-10-27T17:55:00,"900 Block Cherokee St Pittsburgh, PA 15219",Y,Upper Hill,2,SIMPLE ASSAULT,2701 Simple Assault.,506.0,6.0,3.0,-79.95835490163549,40.45065736431898,86,86,1884.0,408.074748055
3155619,324196638,23170905,10,2023-10-26T23:00:00,"3400 Block Webster Ave Pittsburgh, PA 15219",N,Upper Hill,2,TERRORISTIC THREATS,2706 Terroristic Threats. / 9012 Non-Violent Domestic,506.0,6.0,3.0,-79.9616500933705,40.45485487361505,86,86,1884.0,408.074748055
3155772,323133244,23161796,6,2023-10-11T17:00:00,"Centre Ave & Herron Ave Pittsburgh, PA 15219",N,Upper Hill,2,THEFT FROM AUTO,3934 Theft from Vehicle / 3304 Criminal Mischief.,506.0,6.0,3.0,-79.9648962289163,40.44882971131055,86,86,1884.0,408.074748055
3155854,322846148,23160329,27,2023-10-08T13:15:00,"Liberty Brg Pittsburgh, PA 15219",N,Upper Hill,2,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,506.0,,,,,86,86,1884.0,408.074748055
3155966,323949403,23168985,14,2023-10-23T23:00:00,"3300 Block Webster Aly Pittsburgh, PA 15219",N,Upper Hill,2,CRIM MISCHIEF,3304 Criminal Mischief.,506.0,6.0,3.0,-79.9645154008401,40.45284249362212,86,86,1884.0,408.074748055
3156113,322732053,23158919,14,2023-10-06T07:00:00,"3000 Block Centre Ave Pittsburgh, PA 15219",N,Upper Hill,2,CRIM MISCHIEF,3304 Criminal Mischief.,506.0,6.0,3.0,-79.96486451260877,40.44884501581813,86,86,1884.0,408.074748055
3156160,322732827,23158918,14,2023-10-06T06:40:00,"4100 Block Centre Ave Pittsburgh, PA 15213",N,Upper Hill,2,CRIM MISCHIEF,3304 Criminal Mischief.,506.0,,,,,86,86,1884.0,408.074748055
3156532,324207453,23171096,0,2023-10-27T20:50:00,"900 Block Cherokee St Pittsburgh, PA 15219",Y,Upper Hill,2,99,9093 Indirect Criminal Contempt,506.0,6.0,3.0,-79.95835490163549,40.45065736431898,86,86,1884.0,408.074748055
3156679,324274870,23172312,99,2023-10-29T21:00:00,"800 Block Cherokee St Pittsburgh, PA 15219",Y,Upper Hill,2,MENTAL 201/302,9498 302 (Mental),506.0,6.0,3.0,-79.96087253167305,40.4513440792621,86,86,1884.0,408.074748055
3157487,322770229,23159114,14,2023-10-06T14:00:00,"Bigelow Blvd & Schenley Farms Ter Pittsburgh, PA 15213",N,Upper Hill,2,CRIM MISCHIEF,3304 Criminal Mischief.,506.0,6.0,3.0,-79.95441006504572,40.45220944511098,86,86,1884.0,408.074748055
3157724,322823475,23159871,0,2023-10-07T23:45:00,"3400 Block Webster Ave Pittsburgh, PA 15219",N,Upper Hill,2,99,9999 9999 - (Misc. Incident): ,506.0,6.0,3.0,-79.9616500933705,40.45485487361505,86,86,1884.0,408.074748055
3157916,323133249,23161760,14,2023-10-11T14:05:00,"500 Block Herron Ave Pittsburgh, PA 15219",N,Upper Hill,2,CRIM MISCHIEF,3304 Criminal Mischief.,506.0,6.0,3.0,-79.96489732023097,40.44885835775056,86,86,1884.0,408.074748055
3157933,324444805,23172766,10,2023-10-28T03:00:00,"3300 Block Iowa St Pittsburgh, PA 15219",Y,Upper Hill,2,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",506.0,6.0,3.0,-79.95694304369005,40.45145075283972,86,86,1884.0,408.074748055
3158015,324505861,23172497,99,2023-10-30T09:04:00,"2800 Block Webster Ave Pittsburgh, PA 15219",N,Upper Hill,2,AIDED CASE,9497 Aided Case,506.0,6.0,3.0,-79.96873384109558,40.45107096648578,86,86,1884.0,408.074748055
3158031,324606057,23173921,99,2023-11-01T19:35:00,"Bigelow Blvd & N Dithridge St Pittsburgh, PA 15213",N,Upper Hill,2,FOUND PROPERTY,9489 Found Property,506.0,6.0,3.0,-79.95415697020387,40.45282385334643,86,86,1884.0,408.074748055
3154937,322852762,23160392,10,2023-10-09T02:25:00,"2500 Block Chauncey Dr Pittsburgh, PA 15219",Y,Bedford Dwellings,2,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",509.0,6.0,3.0,-79.97383970648434,40.45098330417301,7,7,1349.0,180.0
3155199,324485966,23173604,27,2023-10-28T15:00:00,"Chauncey Dr & Bedford Ave Pittsburgh, PA 15219",N,Bedford Dwellings,2,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,509.0,6.0,3.0,-79.97462341864299,40.44981218131871,7,7,1349.0,180.0
3155470,324536274,23173841,10,2023-11-01T17:15:00,"2100 Block White Hill Dr Pittsburgh, PA 15219",Y,Bedford Dwellings,2,HARRASSMENT,2709(a) Harassment.,509.0,,,,,7,7,1349.0,180.0
3155626,324722528,23175695,0,2023-11-04T23:40:00,"2400 Block Bedford Ave Pittsburgh, PA 15219",N,Bedford Dwellings,2,99,9994 PFA Service,509.0,6.0,3.0,-79.97427399849045,40.44961434187343,7,7,1349.0,180.0
3155694,323748766,23167392,27,2023-10-21T16:15:00,"2200 Block Bedford Ave Pittsburgh, PA 15219",N,Bedford Dwellings,2,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,509.0,6.0,3.0,-79.97832011881441,40.44823273765979,7,7,1349.0,180.0
3155752,324119119,23170264,99,2023-10-26T13:30:00,"2400 Block Bedford Ave Pittsburgh, PA 15219",N,Bedford Dwellings,2,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),509.0,6.0,3.0,-79.97427399849045,40.44961434187343,7,7,1349.0,180.0
3155783,323424323,23164452,0,2023-10-16T15:19:00,"Bedford Ave & Morgan St Pittsburgh, PA 15219",N,Bedford Dwellings,2,99,2709(a)(2) Harassment by Following Person in Public Place(s),509.0,6.0,3.0,-79.96946044648766,40.452005161318894,7,7,1349.0,180.0
3155934,323658790,23166226,0,2023-10-19T16:21:00,"2500 Block Bedford Ave Pittsburgh, PA 15219",N,Bedford Dwellings,2,99,9999 9999 - (Misc. Incident): School Threat Follow Up,509.0,6.0,3.0,-79.97283253592973,40.4504453708583,7,7,1349.0,180.0
3156229,323296552,23163246,10,2023-10-14T03:30:00,"2400 Block Bedford Ave Pittsburgh, PA 15219",Y,Bedford Dwellings,2,SIMPLE ASSAULT,2701(a)(3) Simple Assault - Attempts by Physical Menace  / 2701 Simple Assault. / 5101 Obstructing Admin. of Law ,509.0,6.0,3.0,-79.97427399849045,40.44961434187343,7,7,1349.0,180.0
3156484,324520723,23173696,0,2023-11-01T12:50:00,"800 Block Memory Ln Pittsburgh, PA 15219",N,Bedford Dwellings,2,99,9999 9999 - (Misc. Incident): 9999 - (Misc. Incident): Welfare Check Assist to Medic 14,509.0,,,,,7,7,1349.0,180.0
3156818,323253963,23162710,14,2023-10-12T19:00:00,"2400 Block Chauncey Dr Pittsburgh, PA 15219",N,Bedford Dwellings,2,CRIM MISCHIEF,3304 Criminal Mischief.,509.0,6.0,3.0,-79.97462513627863,40.44984080982751,7,7,1349.0,180.0
3157267,322855054,23160429,14,2023-10-09T05:40:00,"700 Block Junilla St Pittsburgh, PA 15219",N,Bedford Dwellings,2,CRIMINAL MISCHIEF,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,509.0,6.0,3.0,-79.97253004557258,40.44965588618861,7,7,1349.0,180.0
3157365,-3523004603,23168943,6,2023-10-24T04:45:00,"2800 Block Bedford Ave Pittsburgh, PA 15219",N,Bedford Dwellings,2,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,509.0,6.0,3.0,-79.96942376102801,40.45201115525266,7,7,1349.0,180.0
3157384,323970045,23169132,10,2023-10-24T17:46:00,"2500 Block Chauncey Dr Pittsburgh, PA 15219",Y,Bedford Dwellings,2,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",509.0,6.0,3.0,-79.97383970648434,40.45098330417301,7,7,1349.0,180.0
3157772,323275194,23162895,6,2023-10-11T14:00:00,"2400 Block Chauncey Dr Pittsburgh, PA 15219",N,Bedford Dwellings,2,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,509.0,6.0,3.0,-79.97462513627863,40.44984080982751,7,7,1349.0,180.0
3157925,323077217,23161476,0,2023-10-11T06:30:00,"2200 Block Bedford Ave Pittsburgh, PA 15219",N,Bedford Dwellings,2,99,9999 9999 - (Misc. Incident): ,509.0,6.0,3.0,-79.97832011881441,40.44823273765979,7,7,1349.0,180.0
3157936,324453517,23173373,10,2023-10-31T19:00:00,"2400 Block Chauncey Dr Pittsburgh, PA 15219",N,Bedford Dwellings,2,HARRASSMENT,2709 Harassment (Non-Specific),509.0,6.0,3.0,-79.97462513627863,40.44984080982751,7,7,1349.0,180.0
3154938,322852787,23160384,4,2023-10-09T01:40:00,"Station St & Centre Ave Pittsburgh, PA ",Y,East Liberty,5,AGG-ASSAULT,"2702 Aggravated Assault. / 3925 Receiving Stolen Property. / 6106 Firearms not to be Carried without a License. / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 13(a)(16) Possession of Controlled Substance / 5505 Public Drunkenness / 3743 Accidents Involving Damage to Attended Veh. or Property / 3733 Fleeing or Attempting to Elude Police Officer / 3802(a)(1) DUI - General Impairment / 3736 Reckless Driving / 1501 Drivers Required to be Licensed. / 1543 Driving While Operating Privilege is Suspended or Revoked. / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b) / 907 Possessing Instruments of Crime.",1113.0,9.0,2.0,-79.92130122452456,40.46287900521139,29,29,5537.0,612.871112062
3154977,324444812,23173236,27,2023-10-31T16:35:00,"Kirkwood St & Centre Ave Pittsburgh, PA 15206",N,East Liberty,5,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,1115.0,9.0,2.0,-79.92235785872315,40.46122401801522,29,29,5537.0,612.871112062
3154981,324485311,23173603,6,2023-10-31T16:00:00,"Beatty Sq & Commerce St Pittsburgh, PA 15206",N,East Liberty,5,THEFT,3921 Theft by Unlawful Taking or Disposition.,1115.0,9.0,2.0,-79.92769988938458,40.45969430480338,29,29,5537.0,612.871112062
3155033,324207963,23170739,99,2023-10-27T10:45:00,"6400 Block Centre Ave Pittsburgh, PA 15206",N,East Liberty,5,MENTAL 201/302,9498 302 (Mental),1115.0,,,,,29,29,5537.0,612.871112062
3155056,323289237,23163110,10,2023-10-13T19:30:00,"6200 Block Broad St Pittsburgh, PA 15206",N,East Liberty,5,SIMPLE ASSAULT,2701 Simple Assault. / 2705 Recklessly Endangering Another Person. / 3926(a)(4) Theft of services; ACQUISITION OF SERVICES - refusal to pay or offer to pay for a service (hotels and restaurants),1115.0,9.0,2.0,-79.92205139428822,40.46165532418406,29,29,5537.0,612.871112062
3155141,324335200,23172541,6,2023-10-30T07:30:00,"5800 Block Black St Pittsburgh, PA 15206",N,East Liberty,5,THEFT FROM AUTO,3934 Theft from Vehicle,1113.0,9.0,2.0,-79.92464652361116,40.46775216119375,29,29,5537.0,612.871112062
3155272,324530270,23173770,10,2023-11-01T15:07:00,"Centre Ave & Commerce Ln Pittsburgh, PA 15206",N,East Liberty,5,RECKLESSLY ENDANGER ANOTH PER,2705 Recklessly Endangering Another Person. / 3743 Accidents Involving Damage to Attended Veh. or Property,1115.0,8.0,2.0,-79.93255116881011,40.4577189238273,29,29,5537.0,612.871112062
3155387,324605498,23174207,6,2023-11-02T10:30:00,"400 Block N Highland Ave Pittsburgh, PA 15206",N,East Liberty,5,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,1115.0,9.0,2.0,-79.92217494469345,40.46516578481274,29,29,5537.0,612.871112062
3155427,323962753,23169061,6,2023-10-24T16:05:00,"400 Block N Highland Ave Pittsburgh, PA 15206",N,East Liberty,5,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,1115.0,9.0,2.0,-79.92217494469345,40.46516578481274,29,29,5537.0,612.871112062
3155448,323311475,23163453,6,2023-10-14T14:55:00,"6200 Block Penn Ave Pittsburgh, PA 15206",Y,East Liberty,5,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft. / 13(a)(32) Paraphernalia - Use or Possession,1115.0,8.0,2.0,-79.92259331496999,40.46013933681722,29,29,5537.0,612.871112062
3155450,323333538,23163912,10,2023-10-15T11:00:00,"700 Block N St.Clair St NW Pittsburgh, PA 15206",N,East Liberty,5,HARRASSMENT,2709(a) Harassment.,1113.0,9.0,2.0,-79.92476509879951,40.469097696132025,29,29,5537.0,612.871112062
3155453,323350061,23164093,14,2023-10-15T08:00:00,"5600 Block Stanton Ave Pittsburgh, PA 15206",N,East Liberty,5,CRIMINAL MISCHIEF,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,1113.0,9.0,2.0,-79.92625265625563,40.471511178884114,29,29,5537.0,612.871112062
3155484,324056732,23169816,27,2023-10-24T21:30:00,"6200 Block Penn Ave Pittsburgh, PA 15206",N,East Liberty,5,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1115.0,8.0,2.0,-79.92259331496999,40.46013933681722,29,29,5537.0,612.871112062
3155500,324676259,23174933,0,2023-11-03T15:00:00,"500 Block N Highland Ave Pittsburgh, PA 15206",N,East Liberty,5,99,9093 Indirect Criminal Contempt,1113.0,8.0,2.0,-79.92494548024085,40.453010595276815,29,29,5537.0,612.871112062
3155515,324576620,23174181,99,2023-10-31T17:30:00,"6300 Block Penn Ave Pittsburgh, PA 15206",N,East Liberty,5,LOST PROPERTY,9504 Lost Property,1115.0,,,,,29,29,5537.0,612.871112062
3155526,323280676,23162884,10,2023-10-13T10:00:00,"6000 Block Broad St Pittsburgh, PA 15206",N,East Liberty,5,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",1115.0,,,,,29,29,5537.0,612.871112062
3155527,323337613,23163942,99,2023-10-15T14:18:00,"6200 Block Penn Ave Pittsburgh, PA 15206",N,East Liberty,5,LOST PROPERTY,9504 Lost Property,1115.0,8.0,2.0,-79.92259331496999,40.46013933681722,29,29,5537.0,612.871112062
3155530,324012697,23169452,6,2023-10-25T08:30:00,"300 Block S Negley Ave Pittsburgh, PA 15232",N,East Liberty,5,THEFT,3921 Theft by Unlawful Taking or Disposition.,1115.0,7.0,2.0,-79.93276995610911,40.46063138014864,29,29,5537.0,612.871112062
3155559,323872171,23168472,0,2023-10-23T12:00:00,"200 Block N N Beatty St Pittsburgh, PA 15206",N,East Liberty,5,99,9993 PFA Service with Weapons Supplement,1115.0,,,,,29,29,5537.0,612.871112062
3155636,324204212,23171061,6,2023-10-27T12:45:00,"6400 Block Penn Ave Pittsburgh, PA 15206",N,East Liberty,5,THEFT,3921 Theft by Unlawful Taking or Disposition.,1115.0,9.0,2.0,-79.91743506731456,40.45751349471281,29,29,5537.0,612.871112062
3155728,324238689,23171539,6,2023-10-28T14:30:00,"400 Block N Highland Ave Pittsburgh, PA 15206",N,East Liberty,5,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,1115.0,9.0,2.0,-79.92217494469345,40.46516578481274,29,29,5537.0,612.871112062
3155736,323769934,23167749,99,2023-10-22T06:10:00,"200 Block N Beatty St Pittsburgh, PA 15206",N,East Liberty,5,MENTAL 201/302,9498 302 (Mental),1115.0,,,,,29,29,5537.0,612.871112062
3155800,322823853,23159990,6,2023-10-08T07:10:00,"100 Block N Beatty St Pittsburgh, PA 15206",N,East Liberty,5,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,1115.0,,,,,29,29,5537.0,612.871112062
3155802,324125786,23170368,27,2023-10-26T16:25:00,"6200 Block Penn Ave Pittsburgh, PA 15206",N,East Liberty,5,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,1115.0,8.0,2.0,-79.92259331496999,40.46013933681722,29,29,5537.0,612.871112062
3155807,324127655,23170409,99,2023-10-26T17:24:00,"6400 Block Centre Ave Pittsburgh, PA 15206",Y,East Liberty,5,MENTAL 201/302,9498 302 (Mental),1115.0,,,,,29,29,5537.0,612.871112062
3155846,323503063,23165012,0,2023-10-17T15:05:00,"500 Block N Euclid Ave Pittsburgh, PA 15206",N,East Liberty,5,99,9999 9999 - (Misc. Incident): ,1113.0,9.0,2.0,-79.92528780011656,40.46674646245796,29,29,5537.0,612.871112062
3155916,323869086,23168384,99,2023-10-23T12:59:00,"200 Block S Negley (Friendship Academy) Ave Pittsburgh, PA 15206",N,East Liberty,5,AIDED CASE,9497 Aided Case,1115.0,,,,,29,29,5537.0,612.871112062
3156011,323568222,23165551,0,2023-10-18T12:45:00,"300 Block Enright Ct Pittsburgh, PA 15206",N,East Liberty,5,99,9994 PFA Service,1115.0,9.0,2.0,-79.91684040656841,40.46088714915575,29,29,5537.0,612.871112062
3156032,323313552,23163529,10,2023-10-14T17:39:00,"6200 Block Broad St Pittsburgh, PA 15206",N,East Liberty,5,HARRASSMENT,2709(a)(3) Harassment No Legitimate Purpose,1115.0,9.0,2.0,-79.92205139428822,40.46165532418406,29,29,5537.0,612.871112062
3156033,323313995,23163517,10,2023-10-14T17:09:00,"6200 Block Broad St Pittsburgh, PA 15206",N,East Liberty,5,HARRASSMENT,2709(a)(3) Harassment No Legitimate Purpose,1115.0,9.0,2.0,-79.92205139428822,40.46165532418406,29,29,5537.0,612.871112062
